rev_cd|rev_typ_desc|rev_catg_desc|rev_subcatg_desc|rev_short_desc
0310|ANCILLARY SERVICES|LABORATORY PATHOLOGICAL|GENERAL CLASSIFICATION|PATHOLOGY LAB OR (PATH LAB)
0423|ANCILLARY SERVICES|PHYSICAL THERAPY|GROUP RATE|PHYS THERP/GROUP
0622|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES - EXTENSION OF 027X|SUPPLIES INCIDENT TO OTHER DIAGNOSTIC SERVICES|MED-SUR SUPP/INCIDNT ODX
0249|ANCILLARY SERVICES|ALL INCLUSIVE ANCILLARY|OTHER ALL INCLUSIVE ANCILLARY|ALL INCL ANCIL/OTHER
0819|ANCILLARY SERVICES|ACQUISITION OF BODY COMPONENTS|OTHER ORGAN DONOR|OTHER/DONOR
0156|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|DETOXIFICATION|DETOX/WARD
0528|ANCILLARY SERVICES|FREE-STANDING CLINIC|VISIT BY RHC/FQHC PRACTITIONER TO OTHER NON RHC/FQHC SITE (E.G., SCENE OF ACCIDENT)|RHC/FQHC/OTHER SITE
0804|ANCILLARY SERVICES|INPATIENT RENAL DIALYSIS|INPATIENT CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD)|DIALY/INPT/CCPD
0525|ANCILLARY SERVICES|FREE-STANDING CLINIC|VISIT BY RHC/FQHC PRACTITIONER TO A MEMBER IN A SNF (NOT IN A COVERED PART A STAY) OR NF OR ICF MR OR OTHER RESIDENTIAL FACILITY|RHC/FQHC/SNF/NONCOVERED
0642|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|IV SITE CARE, CENTRAL LINE|IV SITE CARE/CENTRAL
0157|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|ONCOLOGY|ONCOLOGY/WARD
0960|ANCILLARY SERVICES|PROFESSIONAL FEES|GENERAL CLASSIFICATION|PRO FEE
0140|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|GENERAL CLASSIFICATION|ROOM-BOARD/PVT/DLX
0809|ANCILLARY SERVICES|INPATIENT RENAL DIALYSIS|OTHER INPATIENT DIALYSIS|DIALY/INPT/OTHER
0294|ANCILLARY SERVICES|DURABLE MEDICAL EQUIPMENT (DME) (OTHER THAN RENAL)|SUPPLIES/DRUGS FOR DME EFFECTIVENESS (HHAS ONLY)|MED EQUIP/SUPPLIES/DRUGS
0669|ANCILLARY SERVICES|RESPITE CARE|OTHER RESPITE CARE|RESPITE/OTHER
